Date,GLD,SP_open,DJ_open,EG_open,OF_Open,OS_Open,SF_Open,USB_Open,PLT_Open,PLD_Open,USDI_Open,GDX_Open,USO_Open
15-12-2011,154.740005,123.029999,11825.29004,74.550003,104.88,94.91,54248,1.911,1420.3,614.7,80.565,53.009998,36.900002
16-12-2011,154.309998,122.230003,11870.25,73.599998,103.51,93.43,53650,1.851,1414.75,622.6,80.175,52.5,36.18
19-12-2011,155.479996,122.059998,11866.54004,69.099998,103.63,93.77,53400,1.81,1422.65,626,80.3,52.490002,36.389999
20-12-2011,156.820007,122.18,11769.20996,66.449997,104.3,96.39,52795,1.927,1408.95,622.45,80.89,52.380001,37.299999
21-12-2011,156.979996,123.93,12103.58008,67.099998,107.15,97.54,53519,1.97,1434.4,625.7,80.105,53.150002,37.669998
22-12-2011,156.350006,124.629997,12107.58984,68.400002,107.92,99.04,53000,1.953,1429,632,80.36,52.560001,38.27
23-12-2011,156.350006,125.669998,12169.87988,70.050003,107.77,99.49,53000,2.021,1425.55,664.95,80.21,52.59,38.470001
27-12-2011,155.080002,126.169998,12293.46973,70.800003,108.16,99.94,53014,2.002,1438.3,658.5,80.15,52.369999,38.490002
28-12-2011,154.050003,126.510002,12288.84961,68.5,108.93,101.27,52590,1.921,1437.35,662.6,80.14,51.77,38.880001
29-12-2011,149.089996,125.239998,12152.32031,66,107.41,99.6,50505,1.899,1385.3,636.9,81.085,49.52,38.389999
30-12-2011,152.139999,126.019997,12286.28027,68.349998,108,99.79,50500,1.876,1379.95,631.7,80.83,51.619999,38.099998
03-01-2012,154.759995,127.760002,12221.19043,70.699997,108.35,99.71,51493,1.956,1408.55,656.6,80.155,52.790001,39.240002
04-01-2012,155.429993,127.199997,12392.45996,73.699997,112.1,103,53000,1.984,1434.5,664.9,79.97,53.610001,39.5
05-01-2012,155.369995,127.010002,12418.41992,73.150002,113.5,103.31,52900,1.996,1426.15,649.7,80.45,53.259998,39.490002
06-01-2012,158.589996,128.199997,12407.4502,73.150002,112.85,101.36,52625,1.958,1419.1,639.7,81.245,54.130001,39.389999
09-01-2012,157.360001,128,12359.30957,72.449997,113.42,101.94,51940,1.956,1398.3,612.5,81.67,53.549999,39.110001
10-01-2012,158.970001,129.389999,12394.50977,73.949997,112.5,101.31,51755,1.963,1426.2,619.5,81.27,54.799999,39.57
11-01-2012,159.339996,128.729996,12459.51953,72.099998,113.12,102.21,52663,1.905,1467.55,637.9,81.295,54.459999,39.09
12-01-2012,161.020004,129.570007,12449.91016,72.199997,112.84,101.01,52710,1.926,1498.35,644.6,81.535,54.84,39.290001
13-01-2012,159.320007,128.639999,12469.95996,69.949997,111.21,99.22,52600,1.871,1498.35,635.4,81.06,54.040001,37.900002
17-01-2012,161.169998,130.080002,12423.12012,71.099998,111.42,98.96,52392,1.858,1501.55,642.1,81.67,54.540001,38.59
18-01-2012,159.940002,129.309998,12474.69043,69.650002,111.46,100.92,53099,1.898,1528.4,653,81.28,53.07,38.880001
19-01-2012,160.960007,131.220001,12578.19043,70.150002,111.1,101.16,53428,1.982,1528.3,667.9,80.715,53.169998,39.080002
20-01-2012,160.5,131.240005,12623.83008,68.050003,111.53,100.59,53489,2.025,1524.8,674.5,80.275,52.07,38.169998
23-01-2012,162.320007,131.509995,12720.25,68.650002,110.04,98.37,55666,2.058,1529.6,673.8,80.535,52.419998,38.02
24-01-2012,161.809998,130.800003,12708.37012,67.699997,110.84,99.89,55700,2.063,1568.7,688,79.925,52.509998,37.799999
25-01-2012,161.070007,131.259995,12673.62988,66.150002,110.22,99.22,55555,2.002,1550.15,682.1,79.965,51.580002,37.82
27-01-2012,167.440002,131.240005,12733.9502,71.150002,111,99.95,56573,1.891,1609.85,691,79.62,55.799999,38.279999
30-01-2012,168.190002,130.509995,12659.16992,73.800003,111.5,100.01,57090,1.846,1624.2,691.4,78.96,56.400002,37.93
31-01-2012,169.770004,132.020004,12654.78027,75.949997,110.98,98.89,57055,1.795,1612.9,689.2,79.165,57.52,38.830002
01-02-2012,169.75,132.289993,12632.75977,76.449997,111.3,98.39,56520,1.83,1594.05,685.3,79.48,57.040001,38.130001
02-02-2012,169.960007,132.729996,12716.54004,76.099998,111.51,97.11,56750,1.823,1621.1,697.7,78.905,57.09,37.16
03-02-2012,169.880005,134,12705.04004,76.300003,112.5,96.62,57257,1.924,1631.15,709.7,79.125,56.77,37.240002
06-02-2012,166.960007,133.979996,12860.71973,72.849998,114.58,97.75,56207,1.901,1625.45,706.4,79.19,56.02,37.330002
07-02-2012,167.380005,134.169998,12844.37012,73.400002,116.64,97.13,56350,1.977,1623.9,705.2,79.2,56.09,37.07
08-02-2012,169.259995,134.860001,12865.79004,72.650002,116.01,98.78,57352,1.982,1650.2,708.8,78.645,56.139999,38.360001
09-02-2012,170.009995,135.410004,12884.41016,71.199997,117.7,99.11,56836,2.036,1665.05,714.8,78.8,56.200001,38.389999
10-02-2012,166.490005,134.160004,12889.54981,67.900002,118.61,99.89,57221,1.984,1659.4,711.3,78.655,54.540001,37.549999
13-02-2012,167.330002,135.320007,12799.11035,68.099998,117.69,99.34,56925,1.978,1666.5,703.1,78.95,54.759998,38.509998
14-02-2012,167.649994,135,12871.76953,66.650002,117.64,100.75,56571,1.938,1649.1,697.8,79.2,54.299999,39.060001
15-02-2012,168.630005,135.630005,12864.65039,66.25,117.44,100.91,56475,1.933,1634.5,686.9,79.56,54.43,39.060001
